broad_category_slug,broad_category_name,official_creator_bucket,source_signal,research_priority,content_fit,logistics_risk,compliance_risk,price_signal,market_note,starter_keywords
beauty-personal-care,Beauty & Personal Care,Beauty and personal care,official_top_level|echotik_top1_my_q1_2025|bernama_top_segment,core,5,2,3,mixed_low_to_premium,MY top category with strong creator and short-video fit,serum|eyeliner|lip tint|hair oil|body mist
muslim-fashion,Muslim Fashion,Fashion,findniche_broad_list|echotik_top2_my_q1_2025|bernama_top_segment,core,5,3,2,low_ticket_volume,Very strong local and festive demand in Malaysia,baju kurung|tudung|kaftan|telekung|abaya
food-beverages,Food & Beverages,Foods and health,official_top_level|echotik_top3_my_q1_2025|bernama_top_segment,core,4,3,4,sub10_order_heavy,Impulse-friendly and highly local but halal and shelf-life checks matter,halal snack|jeruk mangga|instant spaghetti|coffee sachet|sambal
health,Health,Foods and health,findniche_broad_list|echotik_top10_my_q1_2025,watch,3,2,5,mixed,Strong demand but compliance and claims risk are high,collagen drink|fiber gummies|sleep support|vitamin gummies
textiles,Textiles & Soft Furnishings,Furniture and decor,findniche_broad_list|echotik_top5_my_q1_2025,watch,4,3,1,sub10_to_mid,Home textile showed strong MY category signal in EchoTik,bedsheet|pillowcase|towel|blanket|prayer mat
home-supplies,Home Supplies,Furniture and decor,findniche_broad_list|echotik_top10_my_q1_2025,watch,4,2,1,sub10_order_heavy,Utility goods and organizers fit content-led selling,organizer|storage box|cleaning brush|hanger|laundry basket
womenswear,Womenswear & Underwear,Fashion,findniche_broad_list|echotik_top10_my_q1_2025,watch,4,4,2,sub10_order_heavy,Huge demand but returns and sizing create more friction,innerwear|home dress|oversized tee|tops|lounge set
menswear,Menswear & Underwear,Fashion,findniche_broad_list|echotik_top10_my_q1_2025,watch,3,4,2,sub10_order_heavy,Works better with repeat basics than trend fashion,boxer|tee|shorts|polo|kurta lelaki
phones-electronics,Phones & Electronics,Tech and electronics,official_top_level|findniche_broad_list|echotik_top10_price_range_my_q1_2025,watch,4,2,3,mixed,Accessory-led products are better than complex devices,phone case|charger|tablet stand|screen protector|power bank
pet-supplies,Pet Supplies,Pet supplies,official_top_level|findniche_broad_list|echotik_top10_my_q1_2025,watch,4,2,2,low_to_mid,Pets appeared in MY top-10 GMV list in EchoTik,cat toy|pet wipes|feeder|litter scoop|pet brush
sports-outdoors,Sports & Outdoor,Sports and outdoors,official_top_level|findniche_broad_list|echotik_top10_price_range_my_q1_2025,watch,4,3,1,sub10_order_heavy,Works well when the use case can be shown immediately,resistance band|cycling glove|water bottle|camp light|waist bag
bags,Luggage & Bags,Fashion,findniche_broad_list|echotik_top10_my_q1_2025,watch,3,3,2,low_to_mid,Organizer and travel angles usually work better than pure style,crossbody bag|travel bag|makeup pouch|lunch bag|storage pouch
fashion-accessories,Fashion Accessories,Fashion,findniche_broad_list,watch,4,2,1,low_ticket,Very impulse-friendly but crowded,socks|hair clip|belt|wallet|cap
shoes,Shoes,Fashion,findniche_broad_list,watch,3,4,1,low_to_mid,Large volume category but size-related returns matter,slippers|sandals|school shoes|insole|shoe cleaner
kitchenware,Kitchenware,Kitchenware,official_top_level|findniche_broad_list,watch,4,2,1,low_to_mid,Problem-solution demonstrations perform well,oil dispenser|chopper|sink rack|food storage|pan organizer
toys-hobbies,Toys & Hobbies,Toys and collectibles,official_top_level|findniche_broad_list,watch,4,2,1,low_to_mid,Play-value and novelty help but trends can be short,sensory toy|craft kit|educational toy|blind box
jewelry-accessories,Jewelry Accessories & Derivatives,Fashion,findniche_broad_list,watch,4,2,2,low_to_mid,Visual and giftable but quality trust matters,earring set|ring set|bracelet|brooch|necklace
kids-fashion,Kids' Fashion,Fashion,findniche_broad_list,watch,3,4,2,low_ticket,Demand exists but fit and seasonality matter,kids pajama|school socks|girls set|boys set|romper
home-improvement,Home Improvement,Home improvement,official_top_level|findniche_broad_list,cautious,3,3,2,low_to_mid,Utility items work better than bulky installation products,adhesive hook|led strip|door seal|repair tape|shelf bracket
tools-hardware,Tools & Hardware,Home improvement,findniche_broad_list,cautious,3,3,2,mid,Useful but narrower audience than home supplies,tape measure|screwdriver set|drill bit|socket adapter|utility knife
computers-office,Computers & Office Equipment,Tech and electronics,findniche_broad_list,cautious,3,3,2,mid,Desk accessories outperform technical hardware,laptop stand|keyboard|mouse|desk mat|cable organizer
appliances,Household Appliances,Tech and electronics,findniche_broad_list,cautious,3,4,2,mid_to_high,Smaller appliances first and bulky appliances later,portable fan|mini blender|humidifier|handheld vacuum
baby-maternity,Baby & Maternity,Cross-category,findniche_broad_list,cautious,3,3,5,mixed,High trust and safety expectations make this slower to validate,baby bib|bottle brush|nursing cover|stroller hook
automotive,Automotive & Motorcycle,Automotive and motorcycle,official_top_level|findniche_broad_list,cautious,3,3,4,mid,Fitment and compatibility issues make careful selection necessary,phone mount|seat hook|car diffuser|tire gauge
furniture,Furniture,Furniture and decor,official_top_level|findniche_broad_list,late,2,5,2,mid_to_high,Bulky and support-heavy so not ideal for a first selection system,shoe rack|folding table|small stool|bedside shelf
collectibles,Collectibles,Toys and collectibles,official_top_level|findniche_broad_list,watch,3,2,2,mixed,Niche spikes happen but scale is inconsistent,blind box|figure|card sleeve|display case
books-audio,"Books, Magazines & Audio",Books and reading,official_top_level|findniche_broad_list,late,2,1,1,low_to_mid,Weak short-form commerce fit unless tied to a strong use case,religious book|children workbook|study planner|journal
