queue_id,capture_date,broad_category_slug,broad_category_name,sub_category,micro_niche,keyword,source_level,research_priority,my_fit,selection_mode,entrypoints,primary_goal,product_target_per_keyword,shop_target_per_keyword,video_target_per_keyword,live_target_per_keyword,refresh_days,tiktok_search_url,tiktok_tag_url,google_shop_query_url,status,notes
KW-0001,2026-05-10,appliances,Household Appliances,,,handheld vacuum,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia,todo,
KW-0002,2026-05-10,appliances,Household Appliances,,,humidifier,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=humidifier,https://www.tiktok.com/tag/humidifier,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22humidifier%22+Malaysia,todo,
KW-0003,2026-05-10,appliances,Household Appliances,,,mini blender,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia,todo,
KW-0004,2026-05-10,appliances,Household Appliances,,,portable fan,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia,todo,
KW-0005,2026-05-10,appliances,Household Appliances,Air and aroma,Humidifiers and diffusers,aroma machine,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=aroma+machine,https://www.tiktok.com/tag/aroma-machine,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22aroma+machine%22+Malaysia,todo,
KW-0006,2026-05-10,appliances,Household Appliances,Air and aroma,Humidifiers and diffusers,diffuser,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=diffuser,https://www.tiktok.com/tag/diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22diffuser%22+Malaysia,todo,
KW-0007,2026-05-10,appliances,Household Appliances,Air and aroma,Humidifiers and diffusers,humidifier,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=humidifier,https://www.tiktok.com/tag/humidifier,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22humidifier%22+Malaysia,todo,
KW-0008,2026-05-10,appliances,Household Appliances,Cooling,Portable fans,clip fan,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=clip+fan,https://www.tiktok.com/tag/clip-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22clip+fan%22+Malaysia,todo,
KW-0009,2026-05-10,appliances,Household Appliances,Cooling,Portable fans,desk fan,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=desk+fan,https://www.tiktok.com/tag/desk-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22desk+fan%22+Malaysia,todo,
KW-0010,2026-05-10,appliances,Household Appliances,Cooling,Portable fans,portable fan,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia,todo,
KW-0011,2026-05-10,appliances,Household Appliances,Garment care,Steamers and lint removers,garment steamer,micro_niche,cautious,low,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=garment+steamer,https://www.tiktok.com/tag/garment-steamer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22garment+steamer%22+Malaysia,todo,
KW-0012,2026-05-10,appliances,Household Appliances,Garment care,Steamers and lint removers,iron brush,micro_niche,cautious,low,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=iron+brush,https://www.tiktok.com/tag/iron-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22iron+brush%22+Malaysia,todo,
KW-0013,2026-05-10,appliances,Household Appliances,Garment care,Steamers and lint removers,lint remover,micro_niche,cautious,low,video_search,search|video,Find products with search demand and content proof,18,5,4,1,14,https://www.tiktok.com/search?q=lint+remover,https://www.tiktok.com/tag/lint-remover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lint+remover%22+Malaysia,todo,
KW-0014,2026-05-10,appliances,Household Appliances,Home cleaning,Handheld vacuums,dust cleaner,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,18,5,4,1,14,https://www.tiktok.com/search?q=dust+cleaner,https://www.tiktok.com/tag/dust-cleaner,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dust+cleaner%22+Malaysia,todo,
KW-0015,2026-05-10,appliances,Household Appliances,Home cleaning,Handheld vacuums,handheld vacuum,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,18,5,4,1,14,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia,todo,
KW-0016,2026-05-10,appliances,Household Appliances,Home cleaning,Handheld vacuums,mini vacuum,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,18,5,4,1,14,https://www.tiktok.com/search?q=mini+vacuum,https://www.tiktok.com/tag/mini-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+vacuum%22+Malaysia,todo,
