broad_category_slug,sub_category,micro_niche,my_fit,content_fit,logistics_risk,compliance_risk,selection_mode,selection_note,starter_keywords
beauty-personal-care,Skincare,Brightening serum,high,5,2,3,video_search,Before-after and problem-solution content works well,serum|dark spot serum|brightening serum
beauty-personal-care,Makeup,Lip combo set,high,5,2,2,video_live,Sets and shades make good demo content,lip tint|lip gloss set|lip combo|gincu|lipstick|lip gloss|foundation|bedak asas|compact powder|bedak kompak|powder cake|matte stick
beauty-personal-care,Eye makeup,Waterproof eyeliner,high,5,1,2,video_search,Simple proof-driven demo and low ticket,eyeliner|waterproof liner|mascara
beauty-personal-care,Haircare,Hair oil and scalp care,high,4,2,2,video_live,Hair-fall and shine hooks convert well,hair oil|scalp serum|hair mist|shampoo|hair treatment|anti hair fall|anti rambut gugur|keratin|rebonding|daun kari
beauty-personal-care,Body care,Deodorant and body scrub,high,4,2,2,video_search,Repeat-buy potential is strong,body scrub|deodorant cream|body lotion
beauty-personal-care,Beauty tools,Brushes and puffs,medium,4,1,1,search_bundle,Cheap bundle add-ons can work but are crowded,makeup brush|powder puff|eyelash curler
muslim-fashion,Modest tops,Blouse muslimah,high,5,3,2,video_live,Easy try-on content and broad demand,blouse muslimah|modest blouse|long top
muslim-fashion,Traditional sets,Baju kurung set,high,5,3,2,video_live,Very strong seasonal and festive angle,baju kurung|kurung moden|kurung set
muslim-fashion,Headwear,Instant tudung,high,5,2,1,video_search,Fast styling content performs well,tudung|shawl instant|hijab instant
muslim-fashion,Homewear,Kaftan and lounge modest wear,high,4,2,1,video_live,Comfort angle broadens demand beyond festive periods,kaftan|kaftan tidur|jubah santai
muslim-fashion,Prayer wear,Telekung and prayer sets,medium,4,3,1,search_live,Useful category with strong local fit but less impulse-led,telekung|mukena|prayer set
muslim-fashion,Underscarf accessories,Ciput and pins,medium,4,1,1,search_bundle,Good basket-builder but usually add-on rather than hero item,ciput|brooch tudung|pin shawl
food-beverages,Snacks,Halal chips and crackers,high,4,2,4,video_search,Simple tasting hooks and low ticket work well,halal snack|chips|crackers
food-beverages,Local treats,Pickled fruit and sour snacks,high,4,2,4,video_live,Local flavor angle is strong in MY,jeruk mangga|asam snack|pickled fruit
food-beverages,Instant meals,Noodles and pasta kits,high,4,2,4,video_search,Quick-prep demos are effective,instant spaghetti|instant noodle|meal kit|spaghetti|spageti|pasta|carbonara|bolognese|mayora
food-beverages,Beverages,Coffee and drink sachets,high,4,2,4,search_bundle,Strong repeat-buy and bundle logic,coffee sachet|matcha sachet|drink mix
food-beverages,Condiments,Sambal and sauces,medium,4,2,4,video_search,Taste-led content can work if trust is built,sambal|chili sauce|seasoning paste
food-beverages,Dessert mixes,Baking and sweet mixes,medium,3,2,4,video_live,Works better when recipe content is strong,brownie mix|dessert mix|pancake premix|cookies|biskut|soft cookies|cookie
health,Dietary supplements,Daily vitamin gummies,medium,3,1,5,search_review,Check claims and compliance carefully,vitamin gummies|multivitamin|daily supplement
health,Beauty ingestibles,Collagen drinks and powders,medium,3,2,5,video_search,High demand but claims scrutiny is high,collagen drink|collagen powder|beauty drink
health,Fiber and digestion,Fiber gummies and probiotics,medium,3,1,5,search_review,Useful but sensitive claims require caution,fiber gummies|probiotic|digestive support
health,Sleep and stress,Calming and sleep support,low,2,1,5,review_led,Do not push hard claims without validation,sleep support|calming gummies|relax support
health,Topical wellness,Patches and external care,medium,3,1,4,video_search,External-use items are usually easier than ingestibles,heat patch|pain relief patch|cooling patch
textiles,Bedding,Bedsheets and fitted sheets,high,4,3,1,video_search,Bundle and room-refresh content work well,bedsheet|fitted sheet|bed cover
textiles,Pillow and blanket,Blankets and pillowcases,medium,3,3,1,search_bundle,Good add-on category with bundle logic,pillowcase|blanket|comforter|bantal|bolster|bantal peluk|bantal guling|bantal golek
textiles,Bath textiles,Towels and bath sets,medium,3,2,1,search_bundle,Useful and repeat-buy friendly,towel|bath towel|hand towel
